Type de Collision,Condition atmosphérique,Lumière,Situation de l’accident,Nombre de personnes tuées dans l'accident,Nombre de blessés hospitalisés (blessés graves) dans l'accident,Nombre de blessés légers dans l'accident,Nombre de personnes indemnes dans l'accident,Type numero,Numero,Distance metre,Libelle voie,Indice de gravité de l'accident,Nombre impliques,Organisme
3,Normale,Plein jour,1,0,2,0,0,2,1,0,BELFORT (BOULEVARD DE),21.6,2,5
1,Normale,Plein jour,1,0,2,0,0,2,1,0,COGGHE (RUE REMY),21.6,2,5
3,Normale,Plein jour,1,0,2,0,0,2,1,0,DE COUBERTIN (AVENUE PIERRE),21.6,2,5
3,Normale,Plein jour,1,0,2,0,1,1,51798,0,BRUNE  (RUE),21.6,3,5
3,Normale,Plein jour,1,0,1,0,2,1,464,0,DUNKERQUE AVENUE,10.8,3,5
6,Normale,Plein jour,1,0,1,0,1,9,,0,LECLERCQ RUE DU GENERAL,10.8,2,5
6,Pluie légère,Plein jour,1,0,1,0,0,1,121,0,NATIONALE RUE,10.8,1,5
5,Normale,Plein jour,1,0,1,0,3,1,,0,ROUTE NATIONALE,10.8,4,5
6,Pluie légère,Nuit avec éclairage public allumé,1,0,1,0,1,1,,0,MONT DE TEMPLEMARS RUE DU,10.8,2,5
3,Pluie légère,Crépuscule ou aube,1,0,1,0,0,2,1,0,MARNE (AVENUE DE LA),10.8,1,5
6,Normale,Plein jour,1,0,1,0,1,2,1,0,GRAND COTTIGNIES (AVENUE DU),10.8,2,5
6,Normale,Plein jour,1,0,1,0,1,1,45,0,VERT PRE (RUE DU),10.8,2,5
7,Normale,Nuit avec éclairage public allumé,1,0,1,0,1,2,1,0,FLANDRE (AVENUE DE),10.8,2,5
4,Normale,Plein jour,1,0,1,0,2,2,1,0,SAINT JEAN  (RUE),10.8,3,5
2,Normale,Plein jour,0,0,1,0,1,2,1,0,JAURES (AVENUE JEAN),10.8,2,5
6,Normale,Crépuscule ou aube,1,0,1,0,1,1,178,0,BAILLERIE (RUE DE LA),10.8,2,5
6,Normale,Plein jour,1,0,1,0,1,2,1,0,MARCEAU (RUE),10.8,2,5
6,Pluie légère,Crépuscule ou aube,1,0,1,0,1,2,,0,FRANCS (RUE DES),10.8,2,5
3,Normale,Plein jour,1,0,1,0,1,2,,0,TOURCOING (RUE DE),10.8,2,5
3,Normale,Plein jour,1,0,1,0,1,2,,0,BRUN PAIN (RUE DU),10.8,2,5
3,Normale,Plein jour,1,0,1,0,1,2,,0,GAMBETTA (BOULEVARD),10.8,2,5
6,Normale,Plein jour,1,0,1,0,1,2,1,0,DELETTE (RUE EMILE),10.8,2,5
6,Normale,Plein jour,1,0,1,0,0,2,1,0,DELORY (AVENUE GUSTAVE),10.8,1,5
2,Pluie légère,Plein jour,1,0,1,0,1,9,0,0,FAIDHERBE (RUE ),10.8,2,5
6,Normale,Plein jour,1,0,1,0,1,9,,0,SOLFERINO RUE N°1 A 159,10.8,2,5
6,Pluie légère,Plein jour,1,0,1,0,1,9,,0,CD 651 (sortie St Maurice),10.8,2,5
3,Normale,Nuit avec éclairage public allumé,1,0,1,0,1,9,,0,MONTAIGNE RUE,10.8,2,5
4,Normale,Plein jour,1,0,1,0,2,2,,0,FAIDHERBE (RUE ),10.8,3,5
6,Normale,Plein jour,1,0,1,0,1,1,16,0,FUSILLES (RUE DES ),10.8,2,5
6,Normale,Crépuscule ou aube,1,0,1,0,1,,,,,10.8,2,1
3,Normale,Plein jour,1,0,1,0,1,9,,0,DOUAI RUE DE       N° PAIR,10.8,2,5
